SITE_ID,PATCH,PLOT,SECTION,Area_m2,Perimeter_m,P1A,P2A,IsoperimetricInequality(Q),CarbonPool,MgC/Ha,AG(MgC/Ha),BG(MgC/Ha),Soil(MgC/Ha)
MAC,1,3,Edge,757.17,219.36,0.289710369,63.55086652,0.197737203,Soil,196.2244445,,,
MAC,1,1,Inner,757.17,219.36,0.289710369,63.55086652,0.197737203,Soil,307.7504606,,,
MAC,1,2,Inner,757.17,219.36,0.289710369,63.55086652,0.197737203,Soil,237.070937,,,
MAC,1,3,Inner,757.17,219.36,0.289710369,63.55086652,0.197737203,Soil,259.8814676,,,
MAC,2,1,Edge,5183.96,692.45,0.133575491,92.49434843,0.135860956,Soil,152.5332627,,,
MAC,2,2,Edge,5183.96,692.45,0.133575491,92.49434843,0.135860956,Soil,119.6185627,,,
MAC,2,3,Edge,5183.96,692.45,0.133575491,92.49434843,0.135860956,Soil,178.4933253,,,
MAC,2,1,Inner,5183.96,692.45,0.133575491,92.49434843,0.135860956,Soil,143.5115137,,,
MAC,2,2,Inner,5183.96,692.45,0.133575491,92.49434843,0.135860956,Soil,169.5116355,,,
MAC,2,3,Inner,5183.96,692.45,0.133575491,92.49434843,0.135860956,Soil,186.7702649,,,
MAC,3,1,Edge,15579.14,1297.46,0.083281876,108.0549024,0.116296164,Soil,74.6737263,,,
MAC,3,2,Edge,15579.14,1297.46,0.083281876,108.0549024,0.116296164,Soil,107.3604009,,,
MAC,3,3,Edge,15579.14,1297.46,0.083281876,108.0549024,0.116296164,Soil,192.847586,,,
MAC,3,1,Inner,15579.14,1297.46,0.083281876,108.0549024,0.116296164,Soil,98.91507788,,,
MAC,3,2,Inner,15579.14,1297.46,0.083281876,108.0549024,0.116296164,Soil,105.0597142,,,
MAC,3,3,Inner,15579.14,1297.46,0.083281876,108.0549024,0.116296164,Soil,192.0122783,,,
RGI,1,1,Edge,1203.25,222.61,0.185007272,41.18446881,0.305124018,Soil,152.0969989,,,
RGI,1,2,Edge,1203.25,222.61,0.185007272,41.18446881,0.305124018,Soil,201.1319287,,,
RGI,1,3,Edge,1203.25,222.61,0.185007272,41.18446881,0.305124018,Soil,167.6263144,,,
RGI,1,1,Inner,1203.25,222.61,0.185007272,41.18446881,0.305124018,Soil,157.0610154,,,
RGI,1,2,Inner,1203.25,222.61,0.185007272,41.18446881,0.305124018,Soil,123.9896547,,,
RGI,1,3,Inner,1203.25,222.61,0.185007272,41.18446881,0.305124018,Soil,160.82041,,,
RGI,2,1,Edge,9647.35,843.48,0.087431264,73.74652214,0.170399502,Soil,222.290663,,,
RGI,2,2,Edge,9647.35,843.48,0.087431264,73.74652214,0.170399502,Soil,172.5463004,,,
RGI,2,3,Edge,9647.35,843.48,0.087431264,73.74652214,0.170399502,Soil,202.6250774,,,
RGI,2,1,Inner,9647.35,843.48,0.087431264,73.74652214,0.170399502,Soil,182.3466206,,,
RGI,2,2,Inner,9647.35,843.48,0.087431264,73.74652214,0.170399502,Soil,184.4111165,,,
RGI,2,3,Inner,9647.35,843.48,0.087431264,73.74652214,0.170399502,Soil,252.4245383,,,
RGI,3,1,Edge,17089.91,1283.89,0.075125615,96.45302591,0.130284877,Soil,242.8696142,,,
RGI,3,2,Edge,17089.91,1283.89,0.075125615,96.45302591,0.130284877,Soil,227.2441081,,,
RGI,3,3,Edge,17089.91,1283.89,0.075125615,96.45302591,0.130284877,Soil,249.1218133,,,
RGI,3,1,Inner,17089.91,1283.89,0.075125615,96.45302591,0.130284877,Soil,212.8771514,,,
RGI,3,2,Inner,17089.91,1283.89,0.075125615,96.45302591,0.130284877,Soil,201.4277872,,,
RGI,3,3,Inner,17089.91,1283.89,0.075125615,96.45302591,0.130284877,Soil,230.8737227,,,
